,,,,,,Scoring,Scoring,Scoring,,,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time,,,,,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
384,Nick Holden\holdeni01,34,OTT,D,59,4,9,13,-6,8,2.8,4,0,0,1,9,0,0,60,6.7,1187,20:07,95,97,0,0,
385,Justin Holl\hollju01,30,TOR,D,53,2,12,14,13,29,3.2,1,0,1,1,11,0,1,54,3.7,1092,20:36,82,96,0,0,
386,Alexander Holtz\holtzal01,20,NJD,RW,7,0,2,2,-3,2,0,0,0,0,0,1,1,0,11,0,82,11:42,2,4,0,0,
387,Patric Hornqvist\hornqpa01,35,FLA,RW,53,10,14,24,-2,13,1.8,7,3,0,0,10,4,0,135,7.4,678,12:48,15,98,7,13,35
388,Bo Horvat\horvabo01,26,VAN,C,62,26,18,44,4,36,5.1,15,10,1,3,13,5,0,169,15.4,1229,19:49,42,85,756,578,56.7
389,Brett Howden\howdebr01,23,VEG,C,47,9,11,20,9,12,2.4,9,0,0,2,9,0,2,39,23.1,501,10:39,36,62,140,151,48.1
390,Filip Hronek\hronefi01,24,DET,D,61,5,27,32,-21,30,3.2,3,2,0,0,23,4,0,106,4.7,1347,22:05,67,51,0,0,
391,Jonathan Huberdeau\huberjo01,28,FLA,LW,64,21,68,89,25,40,8.9,15,4,2,3,41,25,2,172,12.2,1228,19:11,24,82,15,33,31.3
392,Jack Hughes\hugheja03,20,NJD,C,45,22,30,52,-15,0,5.2,17,5,0,2,22,8,0,155,14.2,885,19:39,14,6,112,215,34.3
393,Quinn Hughes\hughequ01,22,VAN,D,63,5,48,53,9,26,8.1,5,0,0,0,19,27,2,125,4,1583,25:08:00,46,16,0,0,
394,Brad Hunt\huntbr01,33,VAN,D,36,2,10,12,-2,10,1.8,2,0,0,0,9,1,0,47,4.3,540,15:01,38,14,0,0,
395,Dryden Hunt\huntdr01,26,NYR,LW,60,4,11,15,-7,50,0.5,4,0,0,1,11,0,0,73,5.5,741,12:21,14,129,4,13,23.5
396,Ben Hutton\huttobe01,28,VEG,D,44,3,8,11,6,25,2.4,3,0,0,0,8,0,0,57,5.3,685,15:34,56,36,0,0,
397,Grant Hutton\huttogr01,26,NYI,D,5,0,0,0,0,0,0.1,0,0,0,0,0,0,0,7,0,76,15:16,6,3,0,0,
398,Zach Hyman\hymanza01,29,EDM,C,60,21,22,43,-9,30,3.8,16,4,1,2,16,4,2,167,12.6,1179,19:39,20,63,34,35,49.3
399,Alex Iafallo\iafalal01,28,LAK,C,65,14,18,32,6,4,3,11,2,1,2,14,3,1,175,8,1209,18:36,47,40,12,12,50
400,Matt Irwin\irwinma01,34,WSH,D,15,0,2,2,-1,4,0.3,0,0,0,0,2,0,0,25,0,183,12:14,21,33,0,0,
401,Mark Jankowski\jankoma01,27,BUF,C,19,2,3,5,2,4,0.4,2,0,0,1,3,0,0,14,14.3,259,13:39,8,5,86,93,48
402,Mattias Janmark\janmama02,29,VEG,C,53,9,11,20,2,19,1.7,7,0,2,1,10,0,1,70,12.9,756,14:16,23,17,9,15,37.5
403,Calle Jarnkrok\jarnkca01,30,TOT,C,54,12,15,27,-14,2,2,10,2,0,1,12,3,0,91,13.2,893,16:32,15,34,168,165,50.5
403,Calle Jarnkrok\jarnkca01,30,SEA,C,49,12,14,26,-15,2,2,10,2,0,1,11,3,0,82,14.6,823,16:48,14,28,129,132,49.4
403,Calle Jarnkrok\jarnkca01,30,CGY,C,5,0,1,1,1,0,0,0,0,0,0,1,0,0,9,0,70,13:56,1,6,39,33,54.2
404,Christian Jaros\jarosch01,25,NJD,D,11,0,0,0,-4,2,-0.2,0,0,0,0,0,0,0,9,0,121,11:01,10,21,0,0,
405,Seth Jarvis\jarvise01,19,CAR,C,51,12,14,26,10,14,3,11,1,0,2,10,4,0,79,15.2,689,13:31,16,47,9,10,47.4
406,Dmitrij Jaskin\jaskidm01,28,ARI,RW,12,0,1,1,-6,4,-0.4,0,0,0,0,1,0,0,23,0,177,14:47,9,47,5,5,50
407,Tanner Jeannot\jeannta01,24,NSH,F,64,21,15,36,7,101,4,18,2,1,4,14,1,0,105,20,1014,15:51,50,231,7,13,35
408,Jan Jenik\jenikja01,21,ARI,RW,3,0,0,0,-1,7,-0.1,0,0,0,0,0,0,0,2,0,20,6:36,2,9,2,7,22.2
409,Boone Jenner\jennebo01,28,CBJ,C,59,23,21,44,-11,22,3.9,15,8,0,3,19,2,0,160,14.4,1207,20:27,56,80,642,556,53.6
410,Nick Jensen\jenseni02,31,WSH,D,61,5,13,18,25,21,5,5,0,0,1,13,0,0,67,7.5,1173,19:13,77,106,0,0,
411,Lucas Johansen\johanlu01,24,WSH,D,1,0,1,1,1,0,0.2,0,0,0,0,1,0,0,0,,12,12:18,0,0,0,0,
412,Ryan Johansen\johanry01,29,NSH,C,62,17,32,49,0,51,4.6,10,7,0,3,20,12,0,88,19.3,1022,16:29,32,53,530,487,52.1
413,Marcus Johansson\johanma03,31,TOT,C,54,6,17,23,-23,4,0.7,3,3,0,1,11,6,0,84,7.1,897,16:37,21,21,32,49,39.5
413,Marcus Johansson\johanma03,31,SEA,C,51,6,17,23,-22,4,0.8,3,3,0,1,11,6,0,81,7.4,846,16:35,18,17,31,49,38.8
413,Marcus Johansson\johanma03,31,WSH,C,3,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,3,0,51,17:04,3,4,1,0,100
414,Erik Johnson\johnser01,33,COL,D,65,6,13,19,17,18,4.1,5,0,1,1,11,1,1,118,5.1,1133,17:26,108,138,0,0,
415,Jack Johnson\johnsja02,35,COL,D,61,1,7,8,7,40,1.7,1,0,0,0,6,0,1,45,2.2,997,16:21,57,73,0,0,
416,Reese Johnson\johnsre01,23,CHI,F,21,1,3,4,-5,12,0,1,0,0,0,3,0,0,14,7.1,206,9:49,9,84,37,43,46.3
417,Tyler Johnson\johnsty01,31,CHI,C,14,1,2,3,-7,10,-0.1,1,0,0,0,0,2,0,19,5.3,178,12:41,5,20,21,13,61.8
418,Andreas Johnsson\johnsan01,27,NJD,LW,60,11,19,30,4,26,2.7,10,1,0,0,19,0,0,107,10.3,869,14:29,17,55,4,10,28.6
419,Ross Johnston\johnsro02,27,NYI,LW,18,1,4,5,1,18,0.4,1,0,0,0,4,0,0,5,20,186,10:20,9,47,0,1,0
420,Henri Jokiharju\jokihhe01,22,BUF,D,43,3,10,13,-2,12,2.5,3,0,0,0,9,1,0,55,5.5,929,21:36,43,46,0,0,
421,Ben Jones\jonesbe01,22,VEG,F,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,16,8:03,1,4,0,0,
422,Caleb Jones\jonesca01,24,CHI,D,41,4,9,13,4,12,2.8,4,0,0,1,8,1,0,42,9.5,678,16:31,48,65,0,0,
423,Max Jones\jonesma03,23,ANA,LW,2,0,0,0,-1,15,-0.1,0,0,0,0,0,0,0,2,0,20,9:54,0,2,1,1,50
424,Seth Jones\jonesse01,27,CHI,D,62,4,40,44,-25,26,4.8,4,0,0,0,23,16,1,152,2.6,1614,26:02:00,131,78,0,0,
425,Zachary Jones\jonesza01,21,NYR,D,11,0,2,2,-5,0,0,0,0,0,0,2,0,0,7,0,159,14:28,12,4,0,0,
426,Axel Jonsson FjÑllby\jonssax01,23,WSH,LW,20,1,2,3,2,2,0.1,1,0,0,0,2,0,0,21,4.8,224,11:13,8,14,1,3,25
427,Mathieu Joseph\josepma01,24,TOT,RW,61,8,11,19,4,23,1.3,6,0,2,2,10,0,1,70,11.4,842,13:48,22,92,19,27,41.3
427,Mathieu Joseph\josepma01,24,TBL,RW,58,8,10,18,4,23,1.3,6,0,2,2,9,0,1,67,11.9,795,13:42,20,85,18,26,40.9
427,Mathieu Joseph\josepma01,24,OTT,RW,3,0,1,1,0,0,0,0,0,0,0,1,0,0,3,0,47,15:50,2,7,1,1,50
428,Pierre-Olivier Joseph\joseppi01,22,PIT,D,4,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,7,0,73,18:14,4,6,0,0,
429,Dakota Joshua\joshuda01,25,STL,C,25,2,3,5,4,14,0.5,2,0,0,2,3,0,0,19,10.5,205,8:12,9,64,39,33,54.2
430,Roman Josi\josiro01,31,NSH,D,63,18,61,79,19,40,12,10,8,0,2,38,23,0,227,7.9,1590,25:15:00,107,44,0,0,
431,Tyson Jost\jostty01,23,TOT,C,64,6,9,15,2,30,0.5,6,0,0,0,8,0,1,80,7.5,817,12:46,30,48,134,203,39.8
431,Tyson Jost\jostty01,23,COL,C,59,6,8,14,1,30,0.5,6,0,0,0,7,0,1,76,7.9,756,12:49,29,44,118,182,39.3
431,Tyson Jost\jostty01,23,MIN,C,5,0,1,1,1,0,0,0,0,0,0,1,0,0,4,0,61,12:17,1,4,16,21,43.2
432,Olli Juolevi\juoleol01,23,TOT,D,14,0,0,0,-1,4,0,0,0,0,0,0,0,0,14,0,180,12:53,7,11,0,0,
432,Olli Juolevi\juoleol01,23,FLA,D,10,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,125,12:27,6,9,0,0,
432,Olli Juolevi\juoleol01,23,DET,D,4,0,0,0,-1,2,0,0,0,0,0,0,0,0,5,0,56,13:57,1,2,0,0,
433,Noah Juulsen\juulsno01,24,VAN,D,8,0,2,2,-4,0,0,0,0,0,0,2,0,0,6,0,118,14:42,11,20,0,0,
434,Nazem Kadri\kadrina01,31,COL,C,62,25,54,79,16,67,8.4,17,8,0,6,36,18,0,211,11.8,1191,19:13,16,47,513,517,49.8
435,Kaapo Kakko\kakkoka01,20,NYR,RW,37,5,9,14,7,10,1.2,4,1,0,1,8,1,0,56,8.9,592,16:00,13,5,1,6,14.3
436,Arthur Kaliyev\kaliyar01,20,LAK,RW,66,12,10,22,-3,18,2,7,5,0,2,7,3,0,168,7.1,857,12:59,10,24,0,0,
437,Wyatt Kalynuk\kalynwy01,24,CHI,D,5,0,0,0,-3,2,-0.1,0,0,0,0,0,0,0,1,0,60,12:00,0,9,0,0,
438,David Kampf\kampfda01,27,TOR,C,64,8,13,21,5,18,1.3,6,0,2,1,11,0,2,80,10,958,14:58,21,60,477,418,53.3
439,Evander Kane\kaneev01,30,EDM,LW,27,15,8,23,9,24,3.1,11,3,1,1,7,1,0,89,16.9,534,19:46,8,91,4,7,36.4
440,Patrick Kane\kanepa01,33,CHI,RW,62,21,57,78,-13,14,7.2,14,7,0,2,38,19,0,227,9.3,1340,21:37,19,10,4,3,57.1
441,Kasperi Kapanen\kapanka01,25,PIT,RW,64,10,19,29,2,12,2.3,10,0,0,2,14,5,0,113,8.8,974,15:13,18,84,5,7,41.7
442,Kirill Kaprizov\kapriki01,24,MIN,LW,62,35,45,80,18,26,9.4,27,8,0,3,33,12,0,223,15.7,1178,19:00,22,66,2,3,40
443,Erik Karlsson\karlser01,31,SJS,D,42,10,21,31,-8,14,4.9,10,0,0,2,12,9,0,102,9.8,981,23:21,41,16,0,0,
444,William Karlsson\karlswi01,29,VEG,C,53,9,14,23,-4,8,1.4,7,1,1,0,12,2,0,98,9.2,977,18:26,35,30,422,386,52.2
445,Ondrej Kase\kaseon01,26,TOR,RW,50,14,13,27,4,14,2.9,9,4,1,2,9,4,0,119,11.8,699,13:59,32,29,2,9,18.2
446,Zack Kassian\kassiza01,31,EDM,RW,44,5,11,16,-2,47,1,3,2,0,1,11,0,0,46,10.9,533,12:07,6,125,2,3,40
447,Mark Kastelic\kastema01,22,OTT,C,9,0,1,1,-2,2,-0.1,0,0,0,0,1,0,0,1,0,80,8:56,6,34,42,23,64.6
448,Boris Katchouk\katchbo01,23,TOT,LW,43,2,4,6,0,27,0.1,2,0,0,1,4,0,0,41,4.9,427,9:56,14,107,7,11,38.9
448,Boris Katchouk\katchbo01,23,TBL,LW,38,2,4,6,3,25,0.2,2,0,0,1,4,0,0,36,5.6,373,9:49,11,98,7,10,41.2
448,Boris Katchouk\katchbo01,23,CHI,LW,5,0,0,0,-3,2,-0.2,0,0,0,0,0,0,0,5,0,54,10:47,3,9,0,1,0
449,Martin Kaut\kautma01,22,COL,RW,6,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,53,8:49,3,6,0,0,
450,Joey Keane\keanejo01,22,CAR,D,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,14,13:38,0,1,0,0,
451,Duncan Keith\keithdu01,38,EDM,D,48,1,17,18,9,20,3.1,1,0,0,1,16,1,0,62,1.6,960,20:00,75,21,0,0,
452,Clayton Keller\kellecl01,23,ARI,C,64,27,35,62,3,28,6.6,22,4,1,2,28,6,1,170,15.9,1285,20:04,30,17,29,38,43.3
453,Parker Kelly\kellypa01,22,OTT,F,27,5,1,6,-1,37,0.7,5,0,0,0,1,0,0,30,16.7,262,9:42,21,88,0,1,0
454,Adrian Kempe\kempead01,25,LAK,LW,64,28,13,41,-2,38,5.1,22,4,2,7,6,7,0,188,14.9,1177,18:23,20,79,21,20,51.2
455,Michal Kempny\kempnmi01,31,WSH,D,14,1,1,2,-2,16,0.3,1,0,0,0,1,0,0,9,11.1,219,15:39,19,20,0,0,
456,Alexander Kerfoot\kerfoal01,27,TOR,C,64,10,35,45,15,14,4.2,10,0,0,1,31,1,3,90,11.1,975,15:14,53,57,47,74,38.8
457,Tanner Kero\kerota01,29,DAL,RW,23,0,3,3,-5,0,-0.2,0,0,0,0,3,0,0,14,0,220,9:34,9,12,9,5,64.3
458,Phil Kessel\kesseph01,34,ARI,RW,64,7,32,39,-14,26,2.1,5,2,0,0,24,8,0,131,5.3,1070,16:43,20,6,2,4,33.3
459,Jujhar Khaira\khairju01,27,CHI,LW,27,3,0,3,-4,13,-0.1,3,0,0,0,0,0,0,32,9.4,367,13:36,14,88,53,48,52.5
460,Matt Kiersted\kiersma01,23,FLA,D,8,1,1,2,-3,0,0.1,1,0,0,0,1,0,0,7,14.3,104,13:02,16,6,0,0,
461,Alex Killorn\killoal01,32,TBL,C,64,19,30,49,-1,54,4.5,16,3,0,1,24,6,0,119,16,1219,19:03,21,69,1,9,10
462,Bryce Kindopp\kindobr01,22,ANA,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,6:06,0,0,0,1,0
463,Joel Kiviranta\kivirjo01,25,DAL,F,48,1,5,6,-7,10,-0.3,1,0,0,0,5,0,0,48,2.1,452,9:24,20,83,0,3,0
464,John Klingberg\klingjo01,29,DAL,D,57,4,33,37,-14,30,4.6,3,1,0,2,17,16,0,107,3.7,1276,22:24,60,39,0,0,
465,Artemi Kniazev\kniazar01,21,SJS,D,1,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,2,0,12,11:59,0,1,0,0,
466,Slater Koekkoek\koekksl01,27,EDM,D,19,0,4,4,2,16,0.7,0,0,0,0,4,0,0,11,0,212,11:10,18,21,0,0,
467,Otto Koivula\koivuot01,23,NYI,LW,5,0,1,1,0,0,0,0,0,0,0,1,0,0,4,0,54,10:45,3,4,11,20,35.5
468,Keegan Kolesar\koleske01,24,VEG,RW,67,6,15,21,-6,61,1,4,1,1,0,15,0,0,81,7.4,874,13:03,42,207,73,109,40.1
469,Vladislav Kolyachonok\kolyavl01,20,ARI,D,18,1,2,3,4,4,0.9,1,0,0,0,2,0,0,12,8.3,267,14:49,18,24,0,0,
470,Leo Komarov\komarle01,35,NYI,C,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,11,10:50,0,3,1,0,100
471,Travis Konecny\konectr01,24,PHI,C,62,12,30,42,-14,51,3.1,9,3,0,2,23,7,0,170,7.1,1088,17:33,28,68,6,11,35.3
472,Anze Kopitar\kopitan01,34,LAK,C,67,17,40,57,-5,12,5.1,11,6,0,3,26,13,1,177,9.6,1391,20:46,58,55,732,545,57.3
473,Kaedan Korczak\korczka01,21,VEG,D,1,0,0,0,1,0,0.1,0,0,0,0,0,0,0,0,,17,16:37,1,0,0,0,
474,Klim Kostin\kostikl01,22,STL,C,40,4,5,9,-3,23,0.5,4,0,0,1,5,0,0,31,12.9,361,9:01,9,90,2,2,50
475,Jesperi Kotkaniemi\kotkaje01,21,CAR,C,62,11,14,25,3,37,2.4,11,0,0,3,10,4,0,77,14.3,738,11:54,15,67,155,149,51
476,Johnathan Kovacevic\kovacjo01,24,WPG,D,4,0,0,0,1,2,0.1,0,0,0,0,0,0,0,7,0,43,10:49,3,0,0,0,
477,Peyton Krebs\krebspe01,21,TOT,C,40,6,8,14,-19,20,0.4,6,0,0,2,4,4,0,42,14.3,598,14:57,4,18,46,74,38.3
477,Peyton Krebs\krebspe01,21,BUF,C,31,6,8,14,-13,18,0.8,6,0,0,2,4,4,0,32,18.8,475,15:19,1,12,43,69,38.4
477,Peyton Krebs\krebspe01,21,VEG,C,9,0,0,0,-6,2,-0.4,0,0,0,0,0,0,0,10,0,124,13:44,3,6,3,5,37.5
478,Chris Kreider\kreidch01,30,NYR,LW,65,44,17,61,16,20,9,19,22,3,8,11,6,0,206,21.4,1218,18:44,32,122,59,50,54.1
479,Torey Krug\krugto01,30,STL,D,57,8,27,35,24,46,6.6,5,2,1,1,13,14,0,105,7.6,1189,20:52,59,44,0,0,
480,Dominik Kubal°k\kubaldo01,26,CHI,LW,65,12,11,23,-18,12,1.3,9,3,0,0,6,5,0,138,8.7,948,14:35,22,80,7,12,36.8
481,Nikita Kucherov\kucheni01,28,TBL,RW,29,11,23,34,-7,14,3.1,7,4,0,0,13,10,0,107,10.3,585,20:10,7,21,1,0,100
482,Karson Kuhlman\kuhlmka01,26,TOT,C,27,1,1,2,-1,2,-0.2,1,0,0,0,1,0,0,32,3.1,276,10:12,12,56,0,1,0
482,Karson Kuhlman\kuhlmka01,26,BOS,C,19,1,1,2,0,0,0,1,0,0,0,1,0,0,22,4.5,194,10:14,7,42,0,1,0
482,Karson Kuhlman\kuhlmka01,26,SEA,C,8,0,0,0,-1,2,-0.2,0,0,0,0,0,0,0,10,0,81,10:08,5,14,0,0,
483,Dean Kukan\kukande01,28,CBJ,D,34,3,7,10,2,14,1.7,3,0,0,0,7,0,0,36,8.3,542,15:56,31,27,0,0,
484,Brett Kulak\kulakbr01,28,TOT,D,58,3,10,13,-13,35,1.5,3,0,0,0,9,0,1,66,4.5,1042,17:58,51,67,0,0,
484,Brett Kulak\kulakbr01,28,MTL,D,56,3,10,13,-10,33,1.7,3,0,0,0,9,0,1,63,4.8,1006,17:58,48,64,0,0,
484,Brett Kulak\kulakbr01,28,EDM,D,2,0,0,0,-3,2,-0.2,0,0,0,0,0,0,0,3,0,36,17:56,3,3,0,0,
485,Dmitry Kulikov\kulikdm01,31,MIN,D,61,4,15,19,13,29,3.2,4,0,0,0,15,0,0,51,7.8,1083,17:45,72,72,0,0,
486,Luke Kunin\kuninlu01,24,NSH,C,65,11,8,19,-6,54,1.1,11,0,0,0,6,2,0,99,11.1,938,14:26,43,197,32,46,41
487,Janne Kuokkanen\kuokkja01,23,NJD,C,43,5,6,11,-12,8,0.2,3,1,1,1,6,0,0,45,11.1,563,13:06,16,25,2,9,18.2
488,Rasmus Kupari\kuparra01,21,LAK,C,44,4,7,11,-2,14,0.6,3,1,0,1,5,2,0,40,10,522,11:52,12,45,116,152,43.3
489,Sean Kuraly\kuralse01,29,CBJ,C,66,11,13,24,3,53,1.6,11,0,0,0,12,1,0,103,10.7,1031,15:37,42,196,536,553,49.2
490,Philipp Kurashev\kurasph01,22,CHI,C,56,5,11,16,-11,12,0.6,3,2,0,1,9,2,0,71,7,714,12:45,23,29,50,67,42.7
491,Evgeny Kuznetsov\kuzneev01,29,WSH,C,64,22,43,65,8,28,6.7,12,8,2,4,26,15,2,172,12.8,1328,20:45,21,30,416,549,43.1
492,Oliver Kylington\kylinol01,24,CGY,D,62,8,19,27,26,12,6.1,7,1,0,2,17,2,0,121,6.6,1134,18:18,65,32,0,0,
493,Jordan Kyrou\kyroujo01,23,STL,C,60,22,40,62,9,18,6.7,18,4,0,3,28,11,1,147,15,1001,16:41,18,4,6,9,40
494,Kevin Labanc\labanke01,26,SJS,RW,21,3,3,6,-4,6,0.4,1,2,0,1,1,2,0,36,8.3,279,13:17,9,28,0,1,0
495,Andrew Ladd\laddan01,36,ARI,LW,42,6,3,9,-11,41,0.1,4,2,0,0,2,1,0,47,12.8,584,13:55,27,62,5,2,71.4
496,Paul Ladue\laduepa01,29,NYI,D,1,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,1,0,13,12:47,1,2,0,0,
497,Sam Lafferty\laffesa01,26,TOT,C,40,4,4,8,-8,22,0.1,4,0,0,1,4,0,0,61,6.6,517,12:56,20,98,73,114,39
497,Sam Lafferty\laffesa01,26,CHI,C,30,4,2,6,-8,10,0,4,0,0,1,2,0,0,52,7.7,430,14:20,18,64,60,90,40
497,Sam Lafferty\laffesa01,26,PIT,C,10,0,2,2,0,12,0.1,0,0,0,0,2,0,0,9,0,87,8:43,2,34,13,24,35.1
498,Alexis Lafreniere\lafreal01,20,NYR,LW,63,14,9,23,-1,35,2.2,14,0,0,4,8,1,0,81,17.3,879,13:57,24,90,9,27,25
499,William Lagesson\lageswi01,25,TOT,D,31,0,4,4,1,13,0.7,0,0,0,0,4,0,0,32,0,384,12:23,18,40,0,0,
499,William Lagesson\lageswi01,25,EDM,D,30,0,4,4,1,13,0.7,0,0,0,0,4,0,0,32,0,370,12:20,16,39,0,0,
499,William Lagesson\lageswi01,25,MTL,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,14:08,2,1,0,0,
500,Patrik Laine\lainepa01,23,CBJ,RW,47,25,24,49,-2,16,5.6,21,4,0,7,15,9,0,137,18.2,871,18:32,13,30,9,16,36
501,Maxime Lajoie\lajoima01,24,CAR,D,5,0,0,0,2,0,0.2,0,0,0,0,0,0,0,6,0,63,12:32,5,3,0,0,
502,Juho Lammikko\lammiju01,26,VAN,RW,60,7,7,14,-2,14,0.9,7,0,0,2,7,0,0,54,13,720,12:00,41,65,280,278,50.2
503,Gabriel Landeskog\landega01,29,COL,LW,51,30,29,59,27,78,7.7,23,7,0,5,21,8,0,150,20,1036,20:19,34,94,241,198,54.9
504,Hendrix Lapierre\lapiehe01,19,WSH,C,6,1,0,1,2,2,0.2,1,0,0,0,0,0,0,7,14.3,58,9:35,2,1,6,17,26.1
505,Dylan Larkin\larkidy01,25,DET,C,60,27,34,61,-4,41,6.5,22,5,0,4,27,7,0,180,15,1175,19:35,21,58,519,484,51.7
506,Adam Larsson\larssad01,29,SEA,D,65,5,13,18,-23,43,2,5,0,0,2,12,1,0,87,5.7,1424,21:55,112,142,0,0,
507,Jacob Larsson\larssja01,24,ANA,D,6,0,1,1,-3,2,0,0,0,0,0,1,0,0,5,0,92,15:16,5,1,0,0,
508,Johan Larsson\larssjo02,29,ARI,LW,29,6,9,15,-3,30,1,5,1,0,1,8,1,0,30,20,518,17:52,21,53,194,223,46.5
509,Scott Laughton\laughsc01,27,PHI,C,54,11,17,28,-6,27,2.3,9,0,2,1,16,1,0,94,11.7,889,16:28,44,114,317,316,50.1
510,Jeremy Lauzon\lauzoje01,24,TOT,D,56,1,5,6,-11,69,0.9,1,0,0,0,5,0,0,61,1.6,1001,17:53,52,190,0,0,
510,Jeremy Lauzon\lauzoje01,24,SEA,D,53,1,5,6,-9,67,1,1,0,0,0,5,0,0,58,1.7,944,17:49,49,176,0,0,
510,Jeremy Lauzon\lauzoje01,24,NSH,D,3,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,3,0,57,19:01,3,14,0,0,
511,Curtis Lazar\lazarcu01,26,BOS,C,54,6,7,13,-1,12,0.8,6,0,0,0,6,0,1,69,8.7,641,11:53,40,140,105,109,49.1
512,Brett Leason\leasobr01,22,WSH,RW,36,3,3,6,1,4,0.4,3,0,0,0,3,0,0,45,6.7,322,8:57,14,16,3,5,37.5
513,Nick Leddy\leddyni01,30,TOT,D,58,1,16,17,-34,16,0.3,1,0,0,0,11,5,0,56,1.8,1251,21:34,51,31,0,0,
513,Nick Leddy\leddyni01,30,DET,D,55,1,15,16,-33,16,0.3,1,0,0,0,10,5,0,52,1.9,1185,21:33,49,31,0,0,
513,Nick Leddy\leddyni01,30,STL,D,3,0,1,1,-1,0,0.1,0,0,0,0,1,0,0,4,0,65,21:49,2,0,0,0,
514,Anders Lee\leean01,31,NYI,LW,57,25,13,38,-5,22,4.6,17,8,0,2,11,2,0,118,21.2,949,16:39,20,71,62,65,48.8
515,Artturi Lehkonen\lehkoar01,26,MTL,LW,58,13,16,29,0,14,2.8,10,1,2,1,16,0,0,110,11.8,854,14:43,26,60,8,15,34.8
516,Josh Leivo\leivojo01,28,CAR,LW,7,1,2,3,1,2,0.3,1,0,0,0,2,0,0,10,10,65,9:14,1,4,0,0,
517,Brendan Lemieux\lemiebr01,25,LAK,LW,44,8,3,11,5,86,1.4,8,0,0,2,3,0,0,63,12.7,485,11:01,15,108,11,12,47.8
518,John Leonard\leonajo01,23,SJS,LW,10,0,0,0,-2,0,-0.2,0,0,0,0,0,0,0,15,0,117,11:44,6,9,0,1,0
519,Jake Leschyshyn\leschja01,22,VEG,C,31,1,4,5,-1,6,0,1,0,0,0,4,0,0,26,3.8,349,11:16,20,29,94,121,43.7
520,Kris Letang\letankr01,34,PIT,D,62,7,46,53,17,43,8.8,5,2,0,2,29,17,0,171,4.1,1592,25:41:00,102,137,0,0,
521,Vinni Lettieri\lettivi01,26,ANA,C,25,5,3,8,-8,4,0.5,3,2,0,0,0,3,0,43,11.6,322,12:53,14,30,12,10,54.5
522,Tyler Lewington\lewinty01,27,BOS,D,2,0,0,0,-1,7,0,0,0,0,0,0,0,0,2,0,25,12:27,2,1,0,0,
523,Trevor Lewis\lewistr01,35,CGY,C,65,4,9,13,-5,10,0,3,0,1,0,8,1,0,85,4.7,835,12:51,35,147,51,75,40.5
524,Timothy Liljegren\liljeti01,22,TOR,D,46,1,16,17,9,12,2.8,1,0,0,0,16,0,0,56,1.8,733,15:56,47,51,0,0,
525,Kole Lind\lindko01,23,SEA,RW,9,0,4,4,-2,4,0.2,0,0,0,0,4,0,0,8,0,89,9:54,1,7,3,5,37.5
526,Oskar Lindblom\lindbos01,25,PHI,LW,63,11,11,22,-5,22,1.7,11,0,0,1,10,1,0,105,10.5,897,14:14,44,66,7,12,36.8
527,Petteri Lindbohm\lindbpe02,28,FLA,D,5,0,0,0,-1,5,-0.1,0,0,0,0,0,0,0,1,0,65,13:04,5,16,0,0,
528,Esa Lindell\lindees01,27,DAL,D,64,4,19,23,4,6,4.7,3,0,1,0,15,3,1,120,3.3,1431,22:22,129,98,0,1,0
529,Ryan Lindgren\lindgry01,23,NYR,D,62,4,8,12,15,40,4.3,4,0,0,1,8,0,0,54,7.4,1253,20:12,122,109,0,0,
530,Elias Lindholm\lindhel01,27,CGY,C,65,34,34,68,49,12,9.6,24,9,1,7,24,9,1,184,18.5,1294,19:54,39,48,658,583,53
531,Hampus Lindholm\lindhha01,28,TOT,D,63,5,18,23,3,42,4.8,4,1,0,1,14,3,1,125,4,1419,22:31,78,62,0,0,
531,Hampus Lindholm\lindhha01,28,ANA,D,61,5,17,22,0,42,4.4,4,1,0,1,13,3,1,119,4.2,1375,22:32,77,55,0,0,
531,Hampus Lindholm\lindhha01,28,BOS,D,2,0,1,1,3,0,0.4,0,0,0,0,1,0,0,6,0,44,22:02,1,7,0,0,
532,Gustav Lindstrom\lindsgu01,23,DET,D,47,1,11,12,-8,14,1.3,1,0,0,0,11,0,0,36,2.8,763,16:14,59,38,0,0,
533,Blake Lizotte\lizotbl01,24,LAK,C,61,8,11,19,11,28,2,7,0,1,1,9,0,2,76,10.5,723,11:51,11,63,276,238,53.7
