,,,,,,Scoring,Scoring,Scoring,,,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time,,,,,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
295,Adam Gaudette\gaudead01,25,CHI,C,8,1,1,2,-3,4,0.1,0,1,0,0,1,0,0,10,10,84,10:31,1,9,2,3,40
296,Frederick Gaudreau\gaudrfr01,28,MIN,C,57,9,20,29,5,8,1.9,8,1,0,3,18,1,1,98,9.2,927,16:16,37,37,322,326,49.7
297,Johnny Gaudreau\gaudrjo01,28,CGY,LW,65,30,60,90,49,22,11.5,25,5,0,8,45,15,0,211,14.2,1191,18:19,6,9,1,0,100
298,Brendan Gaunce\gauncbr01,27,CBJ,C,16,4,2,6,0,6,0.7,4,0,0,0,2,0,0,25,16,126,7:52,6,25,16,15,51.6
299,Frederik Gauthier\gauthfr01,26,NJD,C,8,0,0,0,-1,0,-0.2,0,0,0,0,0,0,0,4,0,89,11:06,3,16,33,42,44
300,Julien Gauthier\gauthju01,24,NYR,RW,46,3,4,7,-7,4,0,3,0,0,1,4,0,0,64,4.7,473,10:17,14,95,1,2,33.3
301,Vladislav Gavrikov\gavrivl01,26,CBJ,D,64,3,24,27,-1,48,3.5,3,0,0,1,24,0,0,70,4.3,1410,22:02,112,106,0,0,
302,Glenn Gawdin\gawdigl01,24,CGY,C,2,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,18,9:15,1,1,3,8,27.3
303,Morgan Geekie\geekimo01,23,SEA,C,58,6,13,19,-13,18,0.9,6,0,0,0,9,4,0,80,7.5,727,12:32,15,38,260,251,50.9
304,Mason Geertsen\geertma01,26,NJD,D,23,0,0,0,-4,62,-0.1,0,0,0,0,0,0,0,9,0,160,6:57,7,55,0,0,
305,Timothy Gettinger\gettiti01,23,NYR,LW,8,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,3,0,76,9:28,5,15,2,2,50
306,Ryan Getzlaf\getzlry01,36,ANA,C,48,3,28,31,-11,23,1.6,1,2,0,1,20,8,0,94,3.2,899,18:44,47,77,467,412,53.1
307,Mark Giordano\giordma01,38,TOT,D,57,6,17,23,-22,47,2.5,4,0,2,0,9,8,0,124,4.8,1220,21:25,105,49,0,0,
307,Mark Giordano\giordma01,38,SEA,D,55,6,17,23,-21,47,2.5,4,0,2,0,9,8,0,123,4.9,1182,21:29,98,46,0,0,
307,Mark Giordano\giordma01,38,TOR,D,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0,38,19:12,7,3,0,0,
308,Samuel Girard\girarsa01,23,COL,D,56,5,22,27,1,18,3.6,5,0,0,1,15,7,0,65,7.7,1217,21:44,77,50,0,0,
309,Zemgus Girgensons\girgeze01,28,BUF,C,39,8,5,13,-5,25,1,5,3,0,1,4,1,0,67,11.9,587,15:03,15,58,109,113,49.1
