Rk,Team,TeamPF,OpponentPFagainst
1,Atlanta Hawks,22.9,25.7
2,Detroit Pistons,23.6,25.5
3,Utah Jazz,23.1,25.4
4,Phoenix Suns,23.6,25.1
5,Indiana Pacers,25.7,24.7
6,Houston Rockets,24.7,24.5
7,Denver Nuggets,25.5,24.4
8,Philadelphia 76ers,21,24.2
9,Cleveland Cavaliers,19.4,24
10,Portland Trail Blazers,24.7,23.9
